in rules,規則
in value syntax,數值語法
currentColor keyword,currentColor 關鍵字
cursive fonts,cursive字型
custom propertes,自行定義屬性
ease timing function,ease 時脈函數
ease-in timing function,ease-in 時脈函數
ease-in-out timing function,ease-in-out 時脈函數
ease-out timing function,ease-out 時脈函數
easing functions,easing 函數
element boxes,元素方框
block boxes,區塊方框
inline boxes,行內方框
inline-block boxes,行內區塊方框
element selectors,元素選擇器
elements,元素
block-level elements,區塊級元素
display roles of,顯示角色
inline-level eleents,行內級元素
nonreplaced elements,非置換元素
replaced elements,置換元素
root elements,根元素
"elliptical shapes, for floated elements",橢圓形，浮動元素
em box,em 方框
em square,em 方格
em unit,em 單位
:empty pseudo-class,:empty 虛擬類別
empty-celis property,empty-cells屬性
:enabled pseudo-class,:enabled 虛擬類別
events,事件
for animations,動畫
for transitions,轉場
ex unit,ex單位
exclusion blend mode,exclusion 混合模式
fantasy fonts,花式字體
feature queries,特性查詢
flter property,filter 屬性
blurring,模糊
brightness,亮度
color filtering,色彩濾鏡
contrast,對比
drop shadows,陰影
opacity,透明度
saturation,飽合度
SVG filters,SVG濾鏡
findRule(),findRule() 方法
:first-child pseudo-class,:first-child 虛擬類別
::first-letter pseudo-element,::first-letter 虛擬元素
::first-line pseudo-element,::first-line 虛擬元素
:first-of-type pseudo-element,:first-of-type 虛擬類
fit-content() function,fit-content() 函數
fixed positioning,fixed 定位
flex property,flex 屬性
flex-basis property,flex-basis 屬性
flex-direction property,flex-direction 屬性
flex-flow property,flex-flow 屬性
flex-grow property,flex-grow 屬性
flex-shrink property,flex-shrink 屬性
flex-wrap property,flex-wrap 屬性
flexible box (flexbox),
content lines,內容行
aligning,對齊
wrapping,折行
cross axis for,相交軸
cross size for,相交尺寸
cross start and edge for,corss start 與邊緣
flex container for,彈性容器
flex items in,彈性項目
absolute positioning,絕對定位
aligning along cross axis,沿相交軸對齊
aligning individually,個別對齊
anonymous,未命名
dismensions of,維度
distributing along main axis,主軸上分配
order of,順序
placing individually,個別放置
inline-flex display,inline-flex 顯示
main axis for,主軸
main size for,主尺寸
main start and end for,main start 與 main end
margins and,邊界範圍
recommended uses for,建議使用於
writing modes and,書寫模式
float property,float 屬性
float elements,浮動元素
backgrounds and,背景
block box for,區塊方框
containing block for,容器區塊
inline elements and,行内元素
interaction with grid,與網格交互作用
margins and,邊界範圍
negative margins and,負值邊界範圍
"placement of,rules for",放置，規則
preventing,避免
preventing next to specific elements,避免相鄰特定元素
shapes containing,形狀包含
circular shapes,圓形
elliptical shapes,橢圓形
inset shapes,inset 形
margins for,邊界範圍
polygons,多邊形
transparency for,透明
width of,寬
flow display,flow 顯示
flow-root display,flow-root 顯示
:focus pseudo-class,:focus 虛擬類別
font property,font 屬性
@font-face directive,@font-face指令
"""Bulletproof"" syntax for",「防彈」語法
combining descriptors,結合描述子
font-family descriptor,font-family描述子
formats for,格式
licenses for,授權
